dt,x,y,position,velocity,acceleration,jerk,heading
0.400000,211.112000,114.000000,1.000000,5.000000,12.500000,31.250000,3.141593
0.400000,207.112000,114.000000,5.000000,10.000000,12.500000,0.000000,3.141593
0.400000,199.112000,114.000000,13.000000,20.000000,25.000000,31.250000,3.141593
0.400000,188.112000,114.000000,24.000000,27.500000,18.750000,-15.625000,3.141593
0.400000,176.112000,114.000000,36.000000,30.000000,6.250000,-31.250000,3.141593
0.400000,164.112000,114.000000,48.000000,30.000000,0.000000,-15.625000,3.141593
0.400000,152.112000,114.000000,60.000000,30.000000,0.000000,0.000000,3.141593
0.400000,140.112000,114.000000,72.000000,30.000000,-0.000000,-0.000000,3.141593
0.400000,128.112000,114.000000,84.000000,30.000000,0.000000,0.000000,3.141593
0.400000,116.769333,114.000000,95.342667,28.356667,-4.108333,-10.270833,3.141593
0.400000,107.741333,114.000000,104.370667,22.570000,-14.466667,-25.895833,3.141593
0.400000,102.370667,114.000000,109.741333,13.426667,-22.858333,-20.979167,3.141593
0.400000,100.342667,114.000000,111.769333,5.070000,-20.891667,4.916667,3.141593
0.400000,100.000000,114.000000,112.112000,0.856667,-10.533333,25.895833,3.141593
0.400000,100.000000,114.000000,112.112000,0.000000,-2.141667,20.979167,3.141593
