dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,101.031636,162.999986,0.061050,3.052509,76.312737,1907.818416,6.282326
0.040000,101.315634,162.998643,0.345051,7.100027,101.187946,621.880225,6.274568
0.040000,101.792898,162.991381,0.822370,11.932980,120.823821,490.896895,6.261332
0.040000,102.469313,162.970131,1.499119,16.918717,124.643424,95.490070,6.242147
0.040000,103.353191,162.922459,2.384282,22.129075,130.258942,140.387941,6.216321
0.040000,104.455039,162.830285,3.489979,27.642412,137.833430,189.362193,6.182921
0.040000,105.786780,162.668087,4.831561,33.539549,147.428433,239.875072,6.140765
0.040000,107.359883,162.400661,6.427233,39.891812,158.806563,284.453253,6.088450
0.040000,109.181261,161.980925,8.296349,46.727887,170.901882,302.382995,6.024482
0.040000,111.245724,161.349293,10.455276,53.973193,181.132651,255.769220,5.947597
0.040000,113.524349,160.437845,12.909430,61.353841,184.516186,84.588375,5.857371
0.040000,115.951910,159.183664,15.641832,68.310044,173.905088,-265.277468,5.755106
0.040000,118.422913,157.552491,18.602673,74.021041,142.774918,-778.254229,5.644637
0.040000,120.808938,155.562417,21.709684,77.675258,91.355426,-1285.487309,5.532307
0.040000,122.996384,153.287473,24.865676,78.899807,30.613730,-1518.542408,5.425612
0.040000,124.920979,150.832777,27.984906,77.980753,-22.976361,-1339.752259,5.331163
0.040000,126.575326,148.300044,31.010067,75.629027,-58.793153,-895.419807,5.253373
0.040000,127.992091,145.768098,33.911442,72.534370,-77.366409,-464.331393,5.194524
0.040000,129.221661,143.293835,36.674378,69.073410,-86.524012,-228.940074,5.155735
0.040000,130.316276,140.924619,39.284239,65.246509,-95.672525,-228.712829,5.138125
0.040000,131.320820,138.713783,41.712592,60.708843,-113.441643,-444.227943,5.143871
0.040000,132.264603,136.736119,43.903913,54.783005,-148.145959,-867.607912,5.177235
0.040000,133.287918,134.820691,46.075556,54.291076,-12.298226,3396.193315,5.219166
0.040000,134.601115,132.506379,48.736482,66.523162,305.802164,7952.509769,5.235197
0.040000,136.092629,129.929416,51.713956,74.436845,197.842076,-2699.002199,5.236273
0.040000,137.734160,127.044620,55.033093,82.978428,213.539565,392.437227,5.220456
0.040000,139.477954,123.790408,58.725073,92.299492,233.026605,487.175986,5.185340
0.040000,141.246055,120.090787,62.825484,102.510290,255.269961,556.083907,5.128170
0.040000,142.914736,115.868845,67.365231,113.493657,274.584168,482.855177,5.046543
0.040000,144.302271,111.082014,72.349105,124.596851,277.579851,74.892079,4.940061
0.040000,145.183897,105.779059,77.724846,134.393542,244.917261,-816.564760,4.812728
0.040000,145.396179,100.984247,82.524355,119.987711,-360.145773,-15126.575857,4.731742
0.040000,145.547242,98.047133,85.465351,73.524918,-1161.569829,-20035.601384,4.790573
0.040000,145.852517,94.907254,88.620035,78.867098,133.554511,32378.108479,4.823596
0.040000,146.245032,91.594169,91.956291,83.406391,113.482316,-501.804859,4.833269
0.040000,146.651536,88.131471,95.442768,87.161922,93.888271,-489.851124,4.821994
0.040000,146.997337,84.539155,99.051689,90.223029,76.527682,-434.014731,4.791900
0.040000,147.209515,80.841089,102.755837,92.603710,59.517039,-425.266069,4.745071
0.040000,147.221330,77.073572,106.523373,94.188399,39.617213,-497.495663,4.683956
0.040000,146.979748,73.291218,110.313434,94.751520,14.078022,-638.479762,4.611697
0.040000,146.682408,70.501350,113.119103,70.141711,-615.245213,-15733.080877,4.603090
0.040000,146.386446,67.857969,115.779000,66.497442,-91.106743,13103.461757,4.599045
0.040000,146.099980,65.365329,118.288048,62.726182,-94.281496,-79.368847,4.597213
0.040000,145.828289,63.019017,120.650037,59.049749,-91.910820,59.266900,4.597300
0.040000,145.575133,60.814982,122.868563,55.463150,-89.664961,56.146480,4.599030
0.040000,145.342987,58.749525,124.947025,51.961536,-87.540367,53.114850,4.602142
0.040000,145.133251,56.819278,126.888634,48.540215,-85.533019,50.183718,4.606389
0.040000,144.946439,55.021171,128.696419,45.194628,-83.639673,47.333645,4.611538
0.040000,144.782339,53.352409,130.373230,41.920290,-81.858459,44.530340,4.617369
0.040000,144.640168,51.810440,131.921740,38.712732,-80.188946,41.737828,4.623677
0.040000,144.518706,50.392936,133.344438,35.567459,-78.631824,38.928057,4.630271
0.040000,144.416407,49.097773,134.643634,32.479915,-77.188606,36.080433,4.636973
0.040000,144.331513,47.923017,135.821453,29.445470,-75.861125,33.187044,4.643618
0.040000,144.262147,46.866916,136.879830,26.459423,-74.651159,30.249136,4.650060
0.040000,144.206391,45.927889,137.820511,23.517018,-73.560130,27.275739,4.656163
0.040000,144.162359,45.104527,138.645049,20.613464,-72.588858,24.281799,4.661807
0.040000,144.128262,44.395588,139.354808,17.743962,-71.737535,21.283073,4.666888
0.040000,144.102458,43.799998,139.950957,14.903733,-71.005728,18.295169,4.671317
0.040000,144.083494,43.316848,140.434479,12.088036,-70.392441,15.332184,4.675016
0.040000,144.070145,42.945401,140.806166,9.292181,-69.896362,12.401966,4.677926
0.040000,144.061439,42.685085,141.066627,6.511534,-69.516186,9.504402,4.679999
0.040000,144.056683,42.535500,141.216288,3.741519,-69.250361,6.645625,4.681204
0.040000,144.055221,42.488349,141.263461,1.179325,-64.054855,129.887652,4.681585
0.040000,144.055221,42.488349,141.263461,0.000000,-29.483128,864.293168,4.681585
0.040000,144.055221,42.488349,141.263461,0.000000,0.000000,737.078204,4.681585
