dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,101.020472,149.999991,0.061050,3.052509,76.312737,1907.818416,6.282326
0.040000,101.203612,149.999126,0.244201,6.105019,76.312737,0.000000,6.274568
0.040000,101.508832,149.994485,0.549452,9.157528,76.312737,0.000000,6.261332
0.040000,101.935966,149.981077,0.976803,12.210038,76.312737,0.000000,6.242147
0.040000,102.484604,149.951509,1.526255,15.262547,76.312737,0.000000,6.216321
0.040000,103.153792,149.895573,2.197807,18.315057,76.312737,0.000000,6.182921
0.040000,103.941573,149.799707,2.991459,21.367566,76.312737,0.000000,6.140765
0.040000,104.844291,149.646375,3.907212,24.420076,76.312737,0.000000,6.088450
0.040000,105.855502,149.413533,4.945065,27.472585,76.312737,0.000000,6.024482
0.040000,106.964498,149.074478,6.105019,30.525095,76.312737,0.000000,5.947597
0.040000,108.154535,148.598711,7.387073,33.577604,76.312737,-0.000000,5.857371
0.040000,109.401535,147.954569,8.791227,36.630114,76.312737,0.000000,5.755106
0.040000,110.674521,147.113985,10.317482,39.682623,76.312737,0.000000,5.644637
0.040000,111.939285,146.058247,11.965837,42.735133,76.312737,-0.000000,5.532307
0.040000,113.165042,144.781904,13.736293,45.787642,76.312737,0.000000,5.425612
0.040000,114.331307,143.292297,15.628848,48.840151,76.312737,0.000000,5.331163
0.040000,115.431696,141.605307,17.643505,51.892661,76.312737,0.000000,5.253373
0.040000,116.474000,139.740364,19.780261,54.945170,76.312737,-0.000000,5.194524
0.040000,117.478484,137.717295,22.039118,57.997680,76.312737,0.000000,5.155735
0.040000,118.476720,135.555737,24.420076,61.050189,76.312737,0.000000,5.138125
0.040000,119.512309,133.276958,26.923133,64.102699,76.312737,0.000000,5.143871
0.040000,120.644027,130.908409,29.548292,67.155208,76.312737,-0.000000,5.177235
0.040000,121.921844,128.510987,32.295550,70.207718,76.312737,0.000000,5.219166
0.040000,123.337648,126.015283,35.164909,73.260227,76.312737,0.000000,5.235197
0.040000,124.836152,123.426208,38.156368,76.312737,76.312737,0.000000,5.236273
0.040000,126.376238,120.720254,41.269928,79.365246,76.312737,0.000000,5.220456
0.040000,127.904992,117.868706,44.505588,82.417756,76.312737,-0.000000,5.185340
0.040000,129.353640,114.840027,47.863348,85.470265,76.312737,0.000000,5.128170
0.040000,130.633791,111.605231,51.343209,88.522775,76.312737,0.000000,5.046543
0.040000,131.637742,108.147787,54.945170,91.575284,76.312737,-0.000000,4.940061
0.040000,132.249284,104.476840,58.669232,94.627793,76.312737,0.000000,4.812728
0.040000,132.398614,100.732678,62.445426,94.181898,-11.147385,-2186.503047,4.731742
0.040000,132.586955,97.031778,66.151651,91.129389,-76.312737,-1629.133785,4.790573
0.040000,132.932819,93.464545,69.735777,88.076879,-76.312737,0.000000,4.823596
0.040000,133.339895,90.026550,73.197802,85.024370,-76.312737,0.000000,4.833269
0.040000,133.729544,86.709451,76.537726,81.971860,-76.312737,-0.000000,4.821994
0.040000,134.038408,83.506607,79.755551,78.919351,-76.312737,0.000000,4.791900
0.040000,134.216458,80.416292,82.851274,75.866841,-76.312737,0.000000,4.745071
0.040000,134.226585,77.443150,85.824898,72.814332,-76.312737,0.000000,4.683956
0.040000,134.045595,74.597999,88.676421,69.761822,-76.312737,-0.000000,4.611697
0.040000,133.759982,71.919412,91.405844,66.709313,-76.312737,0.000000,4.603090
0.040000,133.469861,69.328283,94.013166,63.656803,-76.312737,0.000000,4.599045
0.040000,133.186111,66.859313,96.498388,60.604294,-76.312737,-0.000000,4.597213
0.040000,132.914290,64.511877,98.861510,57.551784,-76.312737,0.000000,4.597300
0.040000,132.658570,62.285494,101.102531,54.499275,-76.312737,-0.000000,4.599030
0.040000,132.421910,60.179832,103.221452,51.446766,-76.312737,0.000000,4.602142
0.040000,132.206217,58.194696,105.218272,48.394256,-76.312737,-0.000000,4.606389
0.040000,132.012494,56.330014,107.092992,45.341747,-76.312737,0.000000,4.611538
0.040000,131.840982,54.585809,108.845612,42.289237,-76.312737,-0.000000,4.617369
0.040000,131.691288,52.962179,110.476131,39.236728,-76.312737,0.000000,4.623677
0.040000,131.562513,51.459270,111.984550,36.184218,-76.312737,-0.000000,4.630271
0.040000,131.453359,50.077257,113.370868,33.131709,-76.312737,0.000000,4.636973
0.040000,131.362242,48.816329,114.635087,30.079199,-76.312737,-0.000000,4.643618
0.040000,131.287391,47.676669,115.777204,27.026690,-76.312737,0.000000,4.650060
0.040000,131.226934,46.658446,116.797222,23.974180,-76.312737,0.000000,4.656163
0.040000,131.178986,45.761812,117.695139,20.921671,-76.312737,0.000000,4.661807
0.040000,131.141717,44.986892,118.470955,17.869161,-76.312737,0.000000,4.666888
0.040000,131.113421,44.333789,119.124672,14.816652,-76.312737,-0.000000,4.671317
0.040000,131.092571,43.802582,119.656288,11.764142,-76.312737,0.000000,4.675016
0.040000,131.077864,43.393331,120.065803,8.711633,-76.312737,0.000000,4.677926
0.040000,131.068258,43.106076,120.353218,5.659124,-76.312737,0.000000,4.679999
0.040000,131.063004,42.940845,120.518533,2.606614,-76.312737,0.000000,4.681204
0.040000,131.061388,42.888738,120.570665,0.000000,-65.165351,278.684631,4.681585
0.040000,131.061388,42.888738,120.570665,0.000000,0.000000,1629.133785,4.681585
0.040000,131.061388,42.888738,120.570665,0.000000,0.000000,0.000000,4.681585
