dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,100.995230,137.500001,0.049533,2.476636,61.915888,1547.897196,6.282804
0.040000,101.206787,137.500276,0.261089,5.288918,70.307064,209.779402,0.002663
0.040000,101.735554,137.503450,0.789866,13.219420,198.262552,3198.887213,0.009302
0.040000,102.608854,137.516177,1.663259,21.834822,215.385048,428.062380,0.019734
0.040000,103.815379,137.548167,2.870208,30.173722,208.472492,-172.813884,0.033075
0.040000,105.340528,137.610425,4.396627,38.160469,199.668686,-220.095156,0.048200
0.040000,107.167473,137.713273,6.226465,45.745949,189.636986,-250.792507,0.063821
0.040000,109.278103,137.864412,8.342500,52.900874,178.873137,-269.096207,0.078564
0.040000,111.653764,138.067177,10.726797,59.607445,167.664273,-280.221601,0.090991
0.040000,114.275369,138.318944,13.360464,65.841669,155.855600,-295.216836,0.099592
0.040000,117.073454,138.604434,16.173075,70.315277,111.840202,-1100.384939,0.102694
0.040000,119.933993,138.895558,19.048390,71.882876,39.189982,-1816.255515,0.098925
0.040000,122.750437,139.160787,21.877296,70.722634,-29.006066,-1704.901190,0.087481
0.040000,125.467259,139.374243,24.602491,68.129872,-64.819055,-895.324726,0.067743
0.040000,128.071144,139.515348,27.210196,65.192628,-73.431102,-215.301181,0.038610
0.040000,130.539940,139.564048,29.679472,61.731909,-86.517964,-327.171543,6.281593
0.040000,132.840468,139.502360,31.980827,57.533870,-104.950985,-460.825531,6.227966
0.040000,134.927017,139.317992,34.075505,52.366964,-129.172648,-605.541586,6.157818
0.040000,136.743670,139.010705,35.917964,46.061470,-157.637338,-711.617230,6.067508
0.040000,138.237086,138.599589,37.466934,38.724242,-183.430701,-644.834095,5.953735
0.040000,139.387183,138.121626,38.712394,31.136499,-189.693578,-156.571909,5.815694
0.040000,140.246189,137.603659,39.715480,25.077147,-151.483805,955.244328,5.658267
0.040000,140.938166,137.012013,40.625907,22.760677,-57.911751,2339.301329,5.493429
0.040000,141.584908,136.242433,41.631158,25.131268,59.264780,2929.413298,5.336176
0.040000,142.231608,135.187846,42.868241,30.927088,144.895493,2140.767814,5.197465
0.040000,142.854634,133.804841,44.385101,37.921496,174.860196,749.117573,5.081124
0.040000,143.411839,132.114228,46.165171,44.501751,164.506390,-258.845141,4.985828
0.040000,143.873140,130.167388,48.165917,50.018648,137.922432,-664.598958,4.908172
0.040000,144.225412,128.019598,50.342404,54.412191,109.838565,-702.096680,4.844564
0.040000,144.467527,125.718426,52.656278,57.846849,85.866451,-599.302839,4.791938
0.040000,144.604845,123.301241,55.077360,60.527047,67.004957,-471.537350,4.747883
0.040000,144.645538,120.796285,57.582647,62.632170,52.628061,-359.422415,4.710561
0.040000,144.599754,118.236913,60.142428,63.994526,34.058906,-464.228862,4.683873
0.040000,144.533831,115.076203,63.303825,79.034932,376.010145,8548.780982,4.699030
0.040000,144.514214,111.928284,66.451806,78.699508,-8.385604,-9609.893728,4.713114
0.040000,144.537120,108.794019,69.586154,78.358718,-8.519737,-3.353343,4.726106
0.040000,144.598747,105.674071,72.706712,78.013926,-8.619809,-2.501797,4.737996
0.040000,144.695297,102.568920,75.813363,77.666280,-8.691142,-1.783310,4.748772
0.040000,144.822992,99.478889,78.906032,77.316724,-8.738897,-1.193887,4.758429
0.040000,144.978084,96.404157,81.984672,76.966007,-8.767943,-0.726142,4.766964
0.040000,145.156867,93.344789,85.049260,76.614697,-8.782752,-0.370232,4.774375
0.040000,145.355682,90.300746,88.099788,76.263203,-8.787338,-0.114637,4.780660
0.040000,145.570920,87.271913,91.136260,75.911795,-8.785209,0.053220,4.785821
0.040000,145.799026,84.258108,94.158685,75.560621,-8.779349,0.146501,4.789859
0.040000,146.036499,81.259106,97.167074,75.209733,-8.772204,0.178620,4.792773
0.040000,146.279890,78.274650,100.161438,74.859105,-8.765683,0.163034,4.794565
0.040000,146.525800,75.304466,103.141784,74.508659,-8.761158,0.113124,4.795236
0.040000,146.770880,72.348276,106.108116,74.158280,-8.759470,0.042199,4.794785
0.040000,147.011829,69.405812,109.060429,73.807843,-8.760933,-0.036591,4.793213
0.040000,147.245388,66.476820,111.998718,73.457229,-8.765343,-0.110245,4.790519
0.040000,147.468343,63.561077,114.922973,73.106351,-8.771958,-0.165367,4.786703
0.040000,147.677521,60.658398,117.833179,72.755170,-8.779509,-0.188773,4.781763
0.040000,147.869793,57.768638,120.729328,72.403723,-8.786193,-0.167097,4.775698
0.040000,148.040052,54.927599,123.575465,71.153415,-31.257689,-561.787421,4.768605
0.040000,148.182135,52.218149,126.288638,67.829316,-83.102470,-1296.119510,4.760783
0.040000,148.292575,49.733699,128.775541,62.172584,-141.418297,-1457.895686,4.752694
0.040000,148.372806,47.530883,130.979817,55.106913,-176.641787,-880.587253,4.744779
0.040000,148.427731,45.618658,132.892831,47.825345,-182.039207,-134.935489,4.737340
0.040000,148.462842,43.994439,134.517430,40.614960,-180.259617,44.489760,4.730602
0.040000,148.483341,42.655999,135.856027,33.464924,-178.750892,37.718113,4.724760
0.040000,148.493877,41.601474,136.910605,26.364455,-177.511735,30.978929,4.719973
0.040000,148.498345,40.829371,137.682720,19.302882,-176.539327,24.310208,4.716364
0.040000,148.499723,40.338587,138.173507,12.269665,-175.830427,17.722486,4.714024
0.040000,148.499979,40.093369,138.418724,6.130441,-153.480591,558.745896,4.712841
0.040000,148.500000,40.011666,138.500428,2.042586,-102.196384,1282.105173,4.712446
0.040000,148.500000,40.000000,138.512093,0.291641,-43.773616,1460.569206,4.712389
0.040000,148.500000,40.000000,138.512093,0.000000,-7.291029,912.064675,4.712389
