dt,x,y,position,velocity,acceleration,jerk,heading
0.400000,141.170953,113.990585,1.000000,5.000000,12.500000,31.250000,6.267399
0.400000,145.792828,113.803162,5.625673,11.564184,16.410459,9.776148,6.222681
0.400000,153.785593,113.240630,13.638210,20.031342,21.167896,11.893591,6.221780
0.400000,161.718698,113.325099,21.571765,19.833886,-0.493640,-54.153838,0.156615
0.400000,163.915325,114.072990,23.892220,5.801138,-35.081870,-86.470577,0.801102
0.400000,165.099473,116.476576,26.571666,6.698616,2.243696,93.313915,1.259675
0.400000,165.846663,119.736642,29.916262,8.361490,4.157183,4.783719,1.412675
0.400000,166.050610,121.231558,31.425025,3.771908,-11.473955,-39.077845,1.456136
0.400000,166.081101,121.504746,31.699910,0.687212,-7.711740,9.405536,1.463106
0.400000,166.081101,121.504746,31.699910,0.000000,-1.718029,14.984278,1.463106
