dt,x,y,position,velocity,acceleration,jerk,heading
0.400000,140.949959,99.992329,1.000000,5.000000,12.500000,31.250000,6.267399
0.400000,144.946279,99.828780,5.000000,15.000000,25.000000,31.250000,6.222681
0.400000,152.926466,99.267015,13.000000,25.000000,25.000000,0.000000,6.221780
0.400000,163.902359,99.496446,24.000000,30.000000,12.500000,-31.250000,0.156615
0.400000,173.969055,104.330172,35.372447,26.862233,-7.844418,-50.861044,0.801102
0.400000,178.427346,112.190807,44.489786,18.724466,-20.344418,-31.250000,1.259675
0.400000,179.672011,117.532162,49.979573,8.724466,-25.000000,-11.638956,1.412675
0.400000,179.958682,119.629829,52.096913,1.862233,-17.155582,19.611044,1.456136
0.400000,180.000000,120.000000,52.469359,0.000000,-4.655582,31.250000,1.463106
0.400000,180.000000,120.000000,52.469359,0.000000,0.000000,11.638956,1.463106
