dt,x,y,position,velocity,acceleration,jerk,heading
0.400000,140.728964,85.994074,1.000000,5.000000,12.500000,31.250000,6.267399
0.400000,144.099731,85.854398,4.373660,8.434149,8.585372,-9.786570,6.222681
0.400000,152.067338,85.293401,12.360992,19.968330,28.835454,50.625204,6.221780
0.400000,166.086021,85.667794,26.384673,35.059203,37.727182,22.229320,0.156615
0.400000,184.022785,94.587353,46.416798,50.080313,37.552774,-0.436018,0.801102
0.400000,191.755218,107.905037,61.816513,38.499288,-28.952562,-166.263341,1.259675
0.400000,193.497360,115.327682,69.440864,19.060876,-48.596030,-49.108671,1.412675
0.400000,193.866754,118.028100,72.166430,6.813916,-30.617401,44.946574,1.456136
0.400000,193.918899,118.495254,72.636485,1.175138,-14.096944,41.301142,1.463106
0.400000,193.918899,118.495254,72.636485,0.000000,-2.937845,27.897748,1.463106
