dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,118.000000,39.000319,0.062222,3.111103,77.777582,1944.439553,1.570772
0.040000,117.999886,39.165386,0.227290,4.126687,25.389590,-1309.699793,1.572182
0.040000,117.999164,39.445438,0.507342,7.001302,71.865379,1161.894726,1.574571
0.040000,117.997022,39.836428,0.898338,9.774919,69.340411,-63.124216,1.577999
0.040000,117.992283,40.337231,1.399164,12.520636,68.642931,-17.437002,1.582550
0.040000,117.983373,40.946320,2.008317,15.228834,67.704958,-23.449329,1.588342
0.040000,117.968276,41.661688,2.723845,17.888192,66.483954,-30.525081,1.595523
0.040000,117.944468,42.480788,3.543291,20.486145,64.948814,-38.378520,1.604284
0.040000,117.908856,43.400360,4.463552,23.006531,63.009666,-48.478688,1.614861
0.040000,117.857692,44.416289,5.480769,25.430419,60.597202,-60.311592,1.627553
0.040000,117.786496,45.523357,6.590123,27.733870,57.586253,-75.273737,1.642730
0.040000,117.689969,46.714914,7.785584,29.886507,53.815939,-94.257839,1.660855
0.040000,117.561933,47.982443,9.059563,31.849474,49.074175,-118.544100,1.682513
0.040000,117.395316,49.315001,10.402497,33.573352,43.096949,-149.430646,1.708438
0.040000,117.182240,50.698444,11.802253,34.993899,35.513670,-189.581983,1.739563
0.040000,116.914299,52.114526,13.243461,36.030213,25.907848,-240.145545,1.777070
0.040000,116.583177,53.539857,14.706749,36.582182,13.799226,-302.715564,1.822448
0.040000,116.181768,54.945033,16.168135,36.534650,-1.188286,-374.687793,1.877541
0.040000,115.705924,56.294633,17.599165,35.775755,-18.972381,-444.602369,1.944534
0.040000,115.156492,57.549459,18.969005,34.246011,-38.243619,-481.780946,2.025799
0.040000,114.540010,58.673213,20.250751,32.043656,-55.058853,-420.380864,2.123403
0.040000,113.864059,59.644875,21.434405,29.591347,-61.307745,-156.222294,2.238114
0.040000,113.122468,60.472328,22.545547,27.778538,-45.320209,399.688391,2.367965
0.040000,112.273813,61.192789,23.658777,27.830755,1.305408,1165.640419,2.507219
0.040000,111.234598,61.847789,24.887187,30.710258,71.987594,1767.054670,2.647177
0.040000,109.907182,62.449194,26.344487,36.432487,143.055717,1776.703073,2.779098
0.040000,108.223569,62.970658,28.107006,44.062984,190.762416,1192.667459,2.897116
0.040000,106.225364,63.359482,30.142690,50.892089,170.727626,-500.869740,2.996572
0.040000,104.041360,63.585598,32.338368,54.891948,99.996478,-1768.278707,3.076605
0.040000,101.764673,63.657625,34.616194,56.945662,51.342862,-1216.340383,3.140762
0.040000,99.454165,63.597345,36.927488,57.782351,20.917213,-760.641231,3.192781
0.040000,96.460046,63.458662,39.924817,74.933224,428.771825,10196.365300,3.179841
0.040000,93.537348,63.368133,42.848918,73.102512,-45.767791,-11863.490402,3.165595
0.040000,90.771599,63.318296,45.615116,69.154950,-98.689055,-1323.031598,3.153923
0.040000,88.159995,63.298670,48.226792,65.291920,-96.575760,52.832377,3.144565
0.040000,85.699546,63.300641,50.687243,61.511263,-94.516424,51.483390,3.137267
0.040000,83.387213,63.317239,52.999635,57.809806,-92.536412,49.500291,3.131787
0.040000,81.220014,63.342933,55.166987,54.183790,-90.650396,47.150401,3.127890
0.040000,79.195077,63.373427,57.192153,50.629147,-88.866074,44.608065,3.125359
0.040000,77.309683,63.405482,59.077820,47.141672,-87.186882,41.979798,3.123986
0.040000,75.561278,63.436750,60.826504,43.717117,-85.613868,39.325356,3.123577
0.040000,73.947487,63.465623,62.440554,40.351240,-84.146922,36.673639,3.123952
0.040000,72.466113,63.491101,63.922147,37.039821,-82.785498,34.035595,3.124943
0.040000,71.115139,63.512674,65.273293,33.778659,-81.529032,31.411657,3.126396
0.040000,69.892722,63.530212,66.495836,30.563575,-80.377115,28.797934,3.128169
0.040000,68.797191,63.543876,67.591452,27.390393,-79.329535,26.189486,3.130133
0.040000,67.827046,63.554027,68.561649,24.254942,-78.386280,23.581381,3.132172
0.040000,66.980955,63.561163,69.407771,21.153045,-77.547415,20.971615,3.134183
0.040000,66.257749,63.565847,70.130992,18.080522,-76.813091,18.358106,3.136075
0.040000,65.656428,63.568661,70.732320,15.033185,-76.183426,15.741634,3.137770
0.040000,65.176157,63.570155,71.212593,12.006844,-75.658523,13.122569,3.139205
0.040000,64.816265,63.570814,71.572486,8.997307,-75.238427,10.502394,3.140328
0.040000,64.576250,63.571025,71.812501,6.000381,-74.923148,7.881976,3.141099
0.040000,64.455775,63.571061,71.932976,3.011874,-74.712664,5.262095,3.141493
0.040000,64.425389,63.571063,71.963362,0.759645,-56.305742,460.173068,3.141593
0.040000,64.425389,63.571063,71.963362,0.000000,-18.991114,932.865683,3.141593
