dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,131.000000,39.000000,0.062222,3.111103,77.777582,1944.439553,1.570772
0.040000,130.999873,39.183402,0.248888,6.222207,77.777582,0.000000,1.572182
0.040000,130.999072,39.494512,0.559999,9.333310,77.777582,-0.000000,1.574571
0.040000,130.996685,39.930059,0.995553,12.444413,77.777582,0.000000,1.577999
0.040000,130.991385,40.490031,1.555552,15.555516,77.777582,-0.000000,1.582550
0.040000,130.981372,41.174402,2.239994,18.666620,77.777582,0.000000,1.588342
0.040000,130.964302,41.983103,3.048881,21.777723,77.777582,0.000000,1.595523
0.040000,130.937180,42.916041,3.982212,24.888826,77.777582,0.000000,1.604284
0.040000,130.896237,43.973018,5.039987,27.999930,77.777582,-0.000000,1.614861
0.040000,130.836759,45.153730,6.222207,31.111033,77.777582,0.000000,1.627553
0.040000,130.752877,46.457686,7.528870,34.222136,77.777582,0.000000,1.642730
0.040000,130.637285,47.884101,8.959977,37.333239,77.777582,-0.000000,1.660855
0.040000,130.480894,49.431738,10.515529,40.444343,77.777582,0.000000,1.682513
0.040000,130.272367,51.098697,12.195525,43.555446,77.777582,0.000000,1.708438
0.040000,129.997545,52.882011,13.999965,46.666549,77.777582,0.000000,1.739563
0.040000,129.638711,54.777108,15.928849,49.777653,77.777582,-0.000000,1.777070
0.040000,129.173708,56.776912,17.982177,52.888756,77.777582,0.000000,1.822448
0.040000,128.574950,58.870468,20.159949,55.999859,77.777582,-0.000000,1.877541
0.040000,127.808522,61.040907,22.462166,59.110962,77.777582,0.000000,1.944534
0.040000,126.833870,63.262502,24.888826,62.222066,77.777582,-0.000000,2.025799
0.040000,125.605080,65.497013,27.439931,65.333169,77.777582,0.000000,2.123403
0.040000,124.075359,67.690331,30.115480,68.444272,77.777582,-0.000000,2.238114
0.040000,122.206022,69.772277,32.915473,71.555376,77.777582,0.000000,2.367965
0.040000,119.978565,71.663549,35.839910,74.666479,77.777582,0.000000,2.507219
0.040000,117.403320,73.290990,38.888791,77.777582,77.777582,0.000000,2.647177
0.040000,114.517087,74.604389,42.062116,80.888685,77.777582,-0.000000,2.779098
0.040000,111.370203,75.584091,45.359886,83.999789,77.777582,0.000000,2.897116
0.040000,108.104035,76.223019,48.689342,82.473013,-38.169389,-2898.674290,2.996572
0.040000,104.885604,76.558156,51.926040,79.361910,-77.777582,-990.204816,3.076605
0.040000,101.775477,76.657621,55.038295,76.250807,-77.777582,0.000000,3.140762
0.040000,98.789001,76.580317,58.026105,73.139703,-77.777582,0.000000,3.192781
0.040000,95.962936,76.449154,60.889471,70.028600,-77.777582,0.000000,3.179841
0.040000,93.225350,76.364388,63.628393,66.917497,-77.777582,-0.000000,3.165595
0.040000,90.611311,76.317308,66.242871,63.806393,-77.777582,0.000000,3.153923
0.040000,88.121356,76.298613,68.732904,60.695290,-77.777582,-0.000000,3.144565
0.040000,85.755773,76.300519,71.098494,57.584187,-77.777582,0.000000,3.137267
0.040000,83.514688,76.316614,73.339639,54.473084,-77.777582,-0.000000,3.131787
0.040000,81.398137,76.341713,75.456341,51.361980,-77.777582,0.000000,3.127890
0.040000,79.406106,76.371714,77.448598,48.250877,-77.777582,-0.000000,3.125359
0.040000,77.538563,76.403467,79.316411,45.139774,-77.777582,0.000000,3.123986
0.040000,75.795473,76.434640,81.059780,42.028670,-77.777582,-0.000000,3.123577
0.040000,74.176807,76.463600,82.678704,38.917567,-77.777582,0.000000,3.123952
0.040000,72.682548,76.489299,84.173185,35.806464,-77.777582,0.000000,3.124943
0.040000,71.312686,76.511173,85.543222,32.695361,-77.777582,0.000000,3.126396
0.040000,70.067222,76.529041,86.788814,29.584257,-77.777582,-0.000000,3.128169
0.040000,68.946161,76.543022,87.909962,26.473154,-77.777582,0.000000,3.130133
0.040000,67.949512,76.553450,88.906666,23.362051,-77.777582,0.000000,3.132172
0.040000,67.077283,76.560806,89.778926,20.250947,-77.777582,0.000000,3.134183
0.040000,66.329483,76.565649,90.526742,17.139844,-77.777582,-0.000000,3.136075
0.040000,65.706118,76.568566,91.150114,14.028741,-77.777582,0.000000,3.137770
0.040000,65.207193,76.570118,91.649041,10.917638,-77.777582,-0.000000,3.139205
0.040000,64.832710,76.570803,92.023525,7.806534,-77.777582,0.000000,3.140328
0.040000,64.582671,76.571024,92.273564,4.695431,-77.777582,0.000000,3.141099
0.040000,64.457076,76.571061,92.399159,1.584328,-77.777582,-0.000000,3.141493
0.040000,64.425389,76.571063,92.430846,0.000000,-39.608193,954.234737,3.141593
0.040000,64.425389,76.571063,92.430846,0.000000,0.000000,990.204816,3.141593
