dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,144.000000,38.999681,0.062222,3.111103,77.777582,1944.439553,1.570772
0.040000,143.999861,39.201417,0.263958,5.043391,48.307200,-736.759555,1.572182
0.040000,143.998979,39.543587,0.606129,8.554275,87.772093,986.622334,1.574571
0.040000,143.996347,40.023690,1.086239,12.002755,86.211995,-39.002457,1.577999
0.040000,143.990487,40.642831,1.705408,15.479224,86.911729,17.493349,1.582550
0.040000,143.979372,41.402484,2.465142,18.993357,87.853332,23.540070,1.588342
0.040000,143.960328,42.304519,3.367378,22.555898,89.063507,30.254373,1.595523
0.040000,143.929892,43.351293,4.414595,26.180428,90.613266,38.743980,1.604284
0.040000,143.883618,44.545676,5.609874,29.881968,92.538495,48.130737,1.614861
0.040000,143.815826,45.891172,6.957076,33.680064,94.952392,60.347425,1.627553
0.040000,143.719257,47.392016,8.461024,37.598689,97.965626,75.330853,1.642730
0.040000,143.584602,49.053288,10.127744,41.668012,101.733087,94.186505,1.660855
0.040000,143.399855,50.881034,11.964803,45.926472,106.461502,118.210395,1.682513
0.040000,143.149417,52.882393,13.981771,50.424190,112.442945,149.536063,1.708438
0.040000,142.812850,55.065577,16.190746,55.224387,120.004921,189.049389,1.739563
0.040000,142.363123,57.439691,18.607080,60.408336,129.598717,239.844919,1.777070
0.040000,141.764239,60.013966,21.250100,66.075512,141.679410,302.017314,1.822448
0.040000,140.968132,62.795903,24.143707,72.340157,156.616126,373.417893,1.877541
0.040000,139.911120,65.787181,27.316248,79.313532,174.334364,442.955972,1.944534
0.040000,138.511247,68.975546,30.798391,87.053567,193.500885,479.163023,2.025799
0.040000,136.670149,72.320812,34.616826,95.460875,210.182701,417.045388,2.123403
0.040000,134.286658,75.735787,38.781329,104.112579,216.292594,152.747325,2.238114
0.040000,131.289576,79.072225,43.266227,112.122468,200.247236,-401.133948,2.367965
0.040000,127.683316,82.134308,47.997132,118.272618,153.753738,-1162.337455,2.507219
0.040000,123.572043,84.734192,52.861489,121.608920,83.407563,-1758.654363,2.647177
0.040000,119.126993,86.759584,57.746228,122.118488,12.739187,-1766.709405,2.779098
0.040000,114.516836,88.197524,62.575434,120.730127,-34.709012,-1186.204988,2.897116
0.040000,109.982706,89.086556,67.195900,115.511665,-130.461560,-2393.813685,2.996572
0.040000,105.729848,89.530713,71.471889,106.899709,-215.298887,-2120.933181,3.076605
0.040000,101.786281,89.657616,75.417497,98.640207,-206.487547,220.283501,3.140762
0.040000,98.123837,89.563288,79.081156,91.591471,-176.218407,756.728489,3.192781
0.040000,95.465826,89.439646,81.742040,66.522118,-626.733836,-11262.885722,3.179841
0.040000,92.913352,89.360644,84.295737,63.842425,-66.992325,13993.537775,3.165595
0.040000,90.451023,89.316319,86.758465,61.568197,-56.855701,253.415602,3.153923
0.040000,88.082717,89.298555,89.126838,59.209309,-58.972188,-52.912168,3.144565
0.040000,85.812000,89.300397,91.397556,56.767952,-61.033941,-51.543817,3.137267
0.040000,83.642163,89.315989,93.567449,54.247324,-63.015696,-49.543873,3.131787
0.040000,81.576260,89.340492,95.633497,51.651206,-64.902931,-47.180872,3.127890
0.040000,79.617135,89.370001,97.592844,48.983683,-66.688078,-44.628686,3.125359
0.040000,77.767443,89.401452,99.442803,46.248971,-68.367802,-41.993092,3.123986
0.040000,76.029668,89.432531,101.180856,43.451326,-69.941127,-39.333120,3.123577
0.040000,74.406128,89.461577,102.804656,40.594997,-71.408239,-36.677814,3.123952
0.040000,72.898983,89.487497,104.312024,37.684207,-72.769730,-34.037272,3.124943
0.040000,71.510233,89.509672,105.700951,34.723159,-74.026207,-31.411933,3.126396
0.040000,70.241722,89.527870,106.969592,31.716035,-75.178107,-28.797490,3.128169
0.040000,69.095131,89.542169,108.116272,28.667009,-76.225645,-26.188452,3.130133
0.040000,68.071977,89.552874,109.139483,25.580254,-77.168879,-23.580857,3.132172
0.040000,67.173611,89.560449,110.037880,22.459945,-78.007713,-20.970845,3.134183
0.040000,66.401217,89.565452,110.810291,19.310264,-78.742032,-18.357976,3.136075
0.040000,65.755808,89.568471,111.455707,16.135396,-79.371692,-15.741494,3.137770
0.040000,65.238229,89.570081,111.973288,12.939532,-79.896602,-13.122766,3.139205
0.040000,64.849155,89.570793,112.362363,9.726864,-80.316707,-10.502614,3.140328
0.040000,64.589092,89.571022,112.622426,6.501584,-80.631999,-7.882292,3.141099
0.040000,64.458377,89.571061,112.753141,3.267884,-80.842493,-5.262365,3.141493
0.040000,64.425389,89.571063,112.786129,0.824683,-61.080032,494.061539,3.141593
0.040000,64.425389,89.571063,112.786129,0.000000,-20.617078,1011.573838,3.141593
