dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,100.020941,100.000000,0.060941,3.047047,76.176178,1904.404458,0.000000
0.040000,100.203764,100.000000,0.243764,6.094094,76.176178,0.000000,0.000000
0.040000,100.508468,100.000000,0.548468,9.141141,76.176178,-0.000000,0.000000
0.040000,100.935055,100.000000,0.975055,12.188189,76.176178,0.000000,0.000000
0.040000,101.483524,100.000000,1.523524,15.235236,76.176178,0.000000,0.000000
0.040000,102.153874,100.000000,2.193874,18.282283,76.176178,-0.000000,0.000000
0.040000,102.946106,100.000000,2.986106,21.329330,76.176178,0.000000,0.000000
0.040000,103.860220,100.000000,3.900220,24.376377,76.176178,0.000000,0.000000
0.040000,104.896216,100.000000,4.936216,27.423424,76.176178,0.000000,0.000000
0.040000,106.054094,100.000000,6.094094,30.470471,76.176178,0.000000,0.000000
0.040000,107.333854,100.000000,7.373854,33.517518,76.176178,0.000000,0.000000
0.040000,108.735496,100.000000,8.775496,36.564566,76.176178,-0.000000,0.000000
0.040000,110.259019,100.000000,10.299019,39.611613,76.176178,0.000000,0.000000
0.040000,111.904425,100.000000,11.944425,42.658660,76.176178,0.000000,0.000000
0.040000,113.671712,100.000000,13.711712,45.705707,76.176178,0.000000,0.000000
0.040000,115.560881,100.000000,15.600881,48.752754,76.176178,0.000000,0.000000
0.040000,117.571932,100.000000,17.611932,51.799801,76.176178,0.000000,0.000000
0.040000,119.704865,100.000000,19.744865,54.846848,76.176178,0.000000,0.000000
0.040000,121.853084,100.000000,21.893084,52.564064,-57.069611,-3331.144723,0.000000
0.040000,123.894705,100.000000,23.934705,49.517017,-76.176178,-477.664194,0.000000
0.040000,125.814445,100.000000,25.854445,46.469970,-76.176178,0.000000,0.000000
0.040000,127.612303,100.000000,27.652303,43.422923,-76.176178,0.000000,0.000000
0.040000,129.288279,100.000000,29.328279,40.375875,-76.176178,0.000000,0.000000
0.040000,130.842373,100.000000,30.882373,37.328828,-76.176178,-0.000000,0.000000
0.040000,132.274585,100.000000,32.314585,34.281781,-76.176178,0.000000,0.000000
0.040000,133.584915,100.000000,33.624915,31.234734,-76.176178,0.000000,0.000000
0.040000,134.773364,100.000000,34.813364,28.187687,-76.176178,0.000000,0.000000
0.040000,135.839930,100.000000,35.879930,25.140640,-76.176178,0.000000,0.000000
0.040000,136.784615,100.000000,36.824615,22.093593,-76.176178,-0.000000,0.000000
0.040000,137.607418,100.000000,37.647418,19.046546,-76.176178,0.000000,0.000000
0.040000,138.308339,100.000000,38.348339,15.999498,-76.176178,0.000000,0.000000
0.040000,138.887378,100.000000,38.927378,12.952451,-76.176178,-0.000000,0.000000
0.040000,139.344535,100.000000,39.384535,9.905404,-76.176178,0.000000,0.000000
0.040000,139.679810,100.000000,39.719810,6.858357,-76.176178,-0.000000,0.000000
0.040000,139.893203,100.000000,39.933203,3.811310,-76.176178,0.000000,0.000000
0.040000,139.984715,100.000000,40.024715,0.764263,-76.176178,0.000000,0.000000
0.040000,140.000000,100.000000,40.040000,0.000000,-19.106568,1426.740265,0.000000
0.040000,140.000000,100.000000,40.040000,0.000000,0.000000,477.664194,0.000000
