dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,101.009307,136.999996,0.061050,3.052509,76.312737,1907.818416,6.282326
0.040000,101.091590,136.999608,0.143334,2.057105,-24.885101,-2529.945934,6.274568
0.040000,101.224765,136.997589,0.276525,3.329753,31.816192,1417.532324,6.261332
0.040000,101.402620,136.992022,0.454466,4.448547,27.969836,-96.158912,6.242147
0.040000,101.616016,136.980559,0.668170,5.342602,22.351391,-140.461128,6.216321
0.040000,101.852545,136.960862,0.905518,5.933679,14.776926,-189.361612,6.182921
0.040000,102.096366,136.931326,1.151122,6.140108,5.160721,-240.405134,6.140765
0.040000,102.328699,136.892090,1.386744,5.890559,-6.238732,-284.986325,6.088450
0.040000,102.529743,136.846142,1.592972,5.155703,-18.371382,-303.316240,6.024482
0.040000,102.683271,136.799662,1.753382,4.010229,-28.636854,-256.636804,5.947597
0.040000,102.784720,136.759577,1.862463,2.727028,-32.080029,-86.079385,5.857371
0.040000,102.851160,136.725474,1.937144,1.867034,-21.499844,264.504632,5.755106
0.040000,102.926129,136.675478,2.027255,2.252771,9.643413,778.581425,5.644637
0.040000,103.069631,136.554077,2.215220,4.699130,61.158977,1287.889107,5.532307
0.040000,103.333699,136.276335,2.598461,9.581009,122.046975,1522.199948,5.425612
0.040000,103.741635,135.751817,3.262938,16.611943,175.773354,1343.159485,5.331163
0.040000,104.288065,134.910570,4.266074,25.078402,211.661460,897.202647,5.253373
0.040000,104.955908,133.712630,5.637597,34.288068,230.241665,464.505116,5.194524
0.040000,105.735308,132.140755,7.392093,43.862391,239.358071,227.910154,5.155735
0.040000,106.637163,130.186854,9.544085,53.799798,248.435165,226.927334,5.138125
0.040000,107.703798,127.840132,12.121839,64.443850,266.101319,441.653852,5.143871
0.040000,109.023450,125.080699,15.180589,76.468770,300.622981,863.041556,5.177235
0.040000,110.555770,122.201284,18.442343,81.543831,126.876547,-4343.660849,5.219166
0.040000,112.074181,119.524187,21.520072,76.943230,-115.015042,-6047.289715,5.235197
0.040000,113.579675,116.922999,24.525516,75.136092,-45.178456,1745.914633,5.236273
0.040000,115.018316,114.395888,27.433432,72.697907,-60.954601,-394.403621,5.220456
0.040000,116.332031,111.947004,30.212439,69.475167,-80.568503,-490.347547,5.185340
0.040000,117.461226,109.589267,32.826632,65.354826,-103.008522,-561.000465,5.128170
0.040000,118.352847,107.341617,35.244672,60.451006,-122.595510,-489.674699,5.046543
0.040000,118.973212,105.213560,37.461310,55.415943,-125.876568,-82.026449,4.940061
0.040000,119.314670,103.174620,39.528643,51.683334,-93.315230,814.033431,4.812728
0.040000,119.401048,100.481109,42.223539,67.372396,392.226553,12138.544589,4.731742
0.040000,119.626667,96.016424,46.693921,111.759564,1109.679202,17936.316223,4.790573
0.040000,120.013121,92.021835,50.707160,100.330965,-285.714987,-34884.854717,4.823596
0.040000,120.434758,88.458932,54.294925,89.694128,-265.920915,494.851780,4.833269
0.040000,120.807553,85.287432,57.488260,79.833379,-246.518734,485.054531,4.821994
0.040000,121.079479,82.474059,60.314743,70.662074,-229.282631,430.902571,4.791900
0.040000,121.223400,79.991495,62.801475,62.168306,-212.344184,423.461174,4.745071
0.040000,121.231839,77.812728,64.980259,54.469600,-192.467662,496.913060,4.683956
0.040000,121.111441,75.904780,66.892002,47.793561,-166.900975,639.167182,4.611697
0.040000,120.837555,73.337475,69.473875,64.546841,418.832004,14643.324463,4.603090
0.040000,120.553275,70.798597,72.028619,63.868585,-16.956389,-10894.709826,4.599045
0.040000,120.272242,68.353298,74.490015,61.534898,-58.342182,-1034.644822,4.597213
0.040000,120.000291,66.004737,76.854268,59.106329,-60.714219,-59.300931,4.597300
0.040000,119.742007,63.756006,79.117784,56.587895,-62.960861,-56.166052,4.599030
0.040000,119.500833,61.610138,81.277162,53.984462,-65.085818,-53.123915,4.602142
0.040000,119.279182,59.570114,83.329192,51.300731,-67.093268,-50.186242,4.606389
0.040000,119.078549,57.638857,85.270842,48.541271,-68.986521,-47.331329,4.611538
0.040000,118.899624,55.819210,87.099265,45.710570,-70.767522,-44.525029,4.617369
0.040000,118.742408,54.113918,88.811789,42.813097,-72.436811,-41.732218,4.623677
0.040000,118.606320,52.525603,90.405923,39.853350,-73.993684,-38.921836,4.630271
0.040000,118.490311,51.056742,91.879358,36.835882,-75.436696,-36.075302,4.636973
0.040000,118.392971,49.709641,93.229971,33.765321,-76.764017,-33.183022,4.643618
0.040000,118.312635,48.486422,94.455826,30.646367,-77.973872,-30.246378,4.650060
0.040000,118.247478,47.389004,95.555177,27.483772,-79.064862,-27.274746,4.656163
0.040000,118.195613,46.419096,96.526470,24.282327,-80.036125,-24.281571,4.661807
0.040000,118.155171,45.578195,97.368343,21.046828,-80.887480,-21.283885,4.666888
0.040000,118.124385,44.867580,98.079625,17.782053,-81.619382,-18.297544,4.671317
0.040000,118.101649,44.288316,98.659335,14.492743,-82.232740,-15.333958,4.675016
0.040000,118.085583,43.841261,99.106678,11.183590,-82.728836,-12.402387,4.677926
0.040000,118.075076,43.527068,99.421047,7.859220,-83.109250,-9.510344,4.679999
0.040000,118.069325,43.346191,99.602016,4.524216,-83.375100,-6.646254,4.681204
0.040000,118.067555,43.289126,99.659107,1.427290,-77.423137,148.799081,4.681585
0.040000,118.067555,43.289126,99.659107,0.000000,-35.682252,1043.522115,4.681585
0.040000,118.067555,43.289126,99.659107,0.000000,0.000000,892.056299,4.681585
