dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,140.015963,112.999998,0.062971,3.148539,78.713487,1967.837178,6.282955
0.040000,140.247880,112.999560,0.294889,5.797943,66.235096,-311.959787,6.279647
0.040000,140.631864,112.997174,0.678879,9.599765,95.045532,720.260912,6.274329
0.040000,141.164214,112.990566,1.211271,13.309792,92.750695,-57.370928,6.267283
0.040000,141.839933,112.976948,1.887126,16.896389,89.664917,-77.144455,6.258889
0.040000,142.652927,112.953355,2.700463,20.333428,85.925963,-93.473844,6.249607
0.040000,143.596190,112.917021,3.644425,23.599043,81.640397,-107.139162,6.239965
0.040000,144.661999,112.865756,4.711466,26.676027,76.924582,-117.895369,6.230544
0.040000,145.842072,112.798306,5.893466,29.549991,71.849107,-126.886870,6.221967
0.040000,147.127619,112.714690,7.181729,32.206573,66.414555,-135.863800,6.214904
0.040000,148.509286,112.616509,8.566880,34.628786,60.555309,-146.481156,6.210075
0.040000,149.976910,112.507256,10.038565,36.792127,54.083542,-161.794181,6.208279
0.040000,151.519018,112.392627,11.584927,38.659045,46.672942,-185.264977,6.210426
0.040000,153.121971,112.280848,13.191773,40.171157,37.802807,-221.753394,6.217607
0.040000,154.768602,112.182982,14.841310,41.238411,26.681342,-278.036607,6.231192
0.040000,156.436096,112.113123,16.510266,41.723910,12.137481,-363.596526,6.252970
0.040000,158.092812,112.088139,18.167171,41.422625,-7.532117,-491.739957,0.002174
0.040000,159.693796,112.126270,19.768609,40.035945,-34.667022,-678.372618,0.048512
0.040000,161.175507,112.243011,21.254912,37.157571,-71.959330,-932.307704,0.113385
0.040000,162.453269,112.441878,22.548057,32.328625,-120.723649,-1219.107992,0.202792
0.040000,163.410890,112.692052,23.537816,24.743985,-189.616019,-1722.309231,0.319551
0.040000,164.003390,112.929642,24.176178,15.959050,-219.623361,-750.183556,0.457681
0.040000,164.332742,113.120704,24.556938,9.518979,-161.001771,1465.539746,0.605951
0.040000,164.555821,113.300746,24.843607,7.166727,-58.806310,2554.886519,0.751777
0.040000,164.783641,113.546225,25.178513,8.372657,30.148241,2223.863788,0.884206
0.040000,165.050828,113.916221,25.634896,11.409576,75.922993,1144.368808,0.997603
0.040000,165.343472,114.423619,26.220638,14.643544,80.849196,123.155075,1.091364
0.040000,165.635693,115.045629,26.907871,17.180840,63.432398,-435.419972,1.167633
0.040000,165.907587,115.744759,27.658010,18.753466,39.315653,-602.918606,1.229380
0.040000,166.148468,116.482815,28.434380,19.409262,16.394901,-573.018802,1.279423
0.040000,166.354732,117.226911,29.206536,19.303877,-2.634631,-475.738312,1.320107
0.040000,166.527010,117.950657,29.950503,18.599179,-17.617447,-374.570405,1.353271
0.040000,166.668109,118.633686,30.647954,17.436288,-29.072272,-286.370612,1.380326
0.040000,166.781700,119.260512,31.284989,15.925874,-37.760364,-217.202312,1.402342
0.040000,166.871573,119.819430,31.851087,14.152442,-44.335792,-164.385699,1.420127
0.040000,166.941255,120.301665,32.338330,12.181087,-49.283876,-123.702082,1.434291
0.040000,166.993814,120.700704,32.740816,10.062131,-52.973892,-92.250410,1.445286
0.040000,167.031766,121.011788,33.054206,7.834755,-55.684395,-67.762583,1.453448
0.040000,167.057050,121.231535,33.275403,5.529931,-57.620622,-48.405654,1.459013
0.040000,167.071017,121.357743,33.402381,3.174459,-58.886792,-31.654270,1.462138
0.040000,167.075308,121.397264,33.442135,0.993831,-54.515698,109.277356,1.463106
0.040000,167.075308,121.397264,33.442135,0.000000,-24.845775,741.748073,1.463106
