dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,140.009974,86.999999,0.062971,3.148539,78.713487,1967.837178,6.282955
0.040000,140.155884,86.999723,0.208881,3.647761,12.480533,-1655.823848,6.279647
0.040000,140.401592,86.998193,0.454594,6.142821,62.376495,1247.399040,6.274329
0.040000,140.750766,86.993854,0.803795,8.730022,64.680034,57.588476,6.267283
0.040000,141.208286,86.984622,1.261408,11.440323,67.757522,76.937207,6.258889
0.040000,141.780063,86.968011,1.833426,14.300461,71.503466,93.648591,6.249607
0.040000,142.472822,86.941300,2.526700,17.331838,75.784423,107.023934,6.239965
0.040000,143.293944,86.901773,3.348773,20.551826,80.499700,117.881927,6.230544
0.040000,144.251382,86.847012,4.307776,23.975072,85.581144,127.036099,6.221967
0.040000,145.353673,86.775278,5.412398,27.615565,91.012328,135.779606,6.214904
0.040000,146.610123,86.685964,6.672019,31.490510,96.873619,146.532259,6.210075
0.040000,148.031163,86.580165,8.096991,35.624308,103.344956,161.783433,6.208279
0.040000,149.628935,86.461419,9.699170,40.054465,110.753911,185.223865,6.210426
0.040000,151.418167,86.336734,11.492741,44.839280,119.620382,221.661777,6.217607
0.040000,153.417392,86.218117,13.495482,50.068534,130.731345,277.774077,6.231192
0.040000,155.650607,86.124991,15.730638,55.878888,145.258859,363.187853,6.252970
0.040000,158.149326,86.088201,18.229628,62.474748,164.896485,490.940642,0.002174
0.040000,160.954608,86.156858,21.035749,70.153038,191.957252,676.519177,0.048512
0.040000,164.117217,86.409964,24.208471,79.318038,229.124999,929.193670,0.113385
0.040000,167.689807,86.974670,27.825416,90.423626,277.639721,1212.868068,0.202792
0.040000,171.578542,88.008263,31.849167,100.593782,254.253883,-584.645964,0.319551
0.040000,175.491990,89.605576,36.076044,105.671915,126.953342,-3182.513517,0.457681
0.040000,179.140883,91.749720,40.308273,105.805746,3.345768,-3090.189351,0.605951
0.040000,182.312204,94.308356,44.383061,101.869699,-98.401174,-2543.673547,0.751777
0.040000,184.892349,97.064724,48.158603,94.388548,-187.028780,-2215.690162,0.884206
0.040000,186.895338,99.815959,51.561728,85.078114,-232.760851,-1143.301754,0.997603
0.040000,188.412148,102.430446,54.584352,75.565589,-237.813112,-126.306531,1.091364
0.040000,189.551130,104.845046,57.254103,66.743778,-220.545275,431.695930,1.167633
0.040000,190.406905,107.039391,59.609416,58.882841,-196.523426,600.546219,1.229380
0.040000,191.052575,109.013848,61.686763,51.933675,-173.729169,569.856428,1.279423
0.040000,191.542014,110.777040,63.516625,45.746550,-154.678124,476.276119,1.320107
0.040000,191.914305,112.339484,65.122811,40.154643,-139.797658,372.011648,1.353271
0.040000,192.197905,113.711335,66.523669,35.021455,-128.329722,286.698411,1.380326
0.040000,192.413672,114.901381,67.733118,30.236221,-119.630835,217.472168,1.402342
0.040000,192.577017,115.916845,68.761635,25.712935,-113.082151,163.717087,1.420127
0.040000,192.699392,116.763528,69.617116,21.387011,-108.148108,123.351098,1.434291
0.040000,192.789295,117.445994,70.305478,17.209060,-104.448767,92.483504,1.445286
0.040000,192.852953,117.967723,70.831076,13.139949,-101.727775,68.024814,1.453448
0.040000,192.894777,118.331217,71.196969,9.147318,-99.815770,47.800109,1.459013
0.040000,192.917682,118.538187,71.405202,5.205836,-98.537055,31.967894,1.462138
0.040000,192.924692,118.602736,71.470131,1.623216,-89.565498,224.288906,1.463106
0.040000,192.924692,118.602736,71.470131,0.000000,-40.580404,1224.627365,1.463106
