dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,118.500000,39.001497,0.049533,2.476636,61.915888,1547.897196,1.570677
0.040000,118.499887,39.164971,0.213007,4.086845,40.255238,-541.516244,1.572173
0.040000,118.498643,39.567785,0.615822,10.070384,149.588486,2733.331198,1.575611
0.040000,118.493451,40.236285,1.284343,16.713022,166.065928,411.936042,1.581568
0.040000,118.479380,41.165914,2.214078,23.243383,163.259032,-70.172400,1.590404
0.040000,118.449023,42.349628,3.398182,29.602589,158.980159,-106.971822,1.602666
0.040000,118.391972,43.777119,4.826812,35.715761,152.829293,-153.771653,1.619141
0.040000,118.294156,45.433473,6.486051,41.480982,144.130522,-217.469258,1.640941
0.040000,118.137073,47.297070,8.356257,46.755151,131.854220,-306.907563,1.669637
0.040000,117.897127,49.336226,10.409482,51.330608,114.386436,-436.694589,1.707463
0.040000,117.552520,51.467098,12.568039,53.963927,65.832979,-1213.836440,1.756668
0.040000,117.093708,53.561387,14.711997,53.598955,-9.124316,-1873.932374,1.818918
0.040000,116.527641,55.496642,16.728341,50.408598,-79.758925,-1765.865212,1.895328
0.040000,115.871134,57.198280,18.552230,45.597238,-120.283998,-1013.126828,1.987123
0.040000,115.143088,58.638621,20.166118,40.347180,-131.251431,-274.185821,2.095705
0.040000,114.363901,59.815875,21.577875,35.293942,-126.330959,123.011796,2.220448
0.040000,113.536762,60.765925,22.837540,31.491624,-95.057945,781.825343,2.357353
0.040000,112.627999,61.552570,24.039481,30.048509,-36.077877,1474.501705,2.498874
0.040000,111.571079,62.233705,25.296868,31.434692,34.654562,1768.310970,2.635960
0.040000,110.300341,62.832643,26.701682,35.120355,92.141591,1437.175726,2.761258
0.040000,108.783572,63.340244,28.301134,39.986287,121.648301,737.667760,2.870996
0.040000,107.027365,63.735945,30.101368,45.005848,125.489020,96.017979,2.964681
0.040000,105.062529,64.004181,32.084429,49.576535,114.267160,-280.546508,3.043752
0.040000,102.927868,64.139321,34.223363,53.473348,97.420337,-421.170572,3.110363
0.040000,100.660325,64.143978,36.490912,56.688709,80.384022,-425.907885,3.166691
0.040000,97.994419,64.024190,39.159507,66.714887,250.654457,4256.760885,3.188215
0.040000,94.818014,63.902911,42.338227,79.468004,318.827909,1704.336280,3.171672
0.040000,91.670406,63.831045,45.486655,78.710701,-18.932558,-8444.011663,3.157552
0.040000,88.552635,63.800096,48.604580,77.948117,-19.064607,-3.301233,3.145874
0.040000,85.465316,63.801732,51.691900,77.182991,-19.128156,-1.588723,3.136645
0.040000,82.408746,63.827823,54.748581,76.417028,-19.149080,-0.523083,3.129867
0.040000,79.428113,63.869735,57.729508,74.523182,-47.346142,-704.926551,3.125587
0.040000,76.616366,63.917870,60.541667,70.303982,-105.479988,-1453.346170,3.123720
0.040000,74.067880,63.963573,63.090563,63.722398,-164.539603,-1476.490353,3.123902
0.040000,71.830076,64.001565,65.328689,55.953153,-194.231128,-742.288141,3.125570
0.040000,69.900971,64.030147,67.258006,48.232920,-193.005818,30.632763,3.128167
0.040000,68.274518,64.049618,68.884575,40.664230,-189.217256,94.714035,3.131207
0.040000,66.945603,64.061437,70.213543,33.224192,-186.000962,80.407367,3.134281
0.040000,65.910026,64.067604,71.249138,25.889884,-183.357684,66.081932,3.137048
0.040000,65.164497,64.070184,71.994672,18.638346,-181.288454,51.730751,3.139245
0.040000,64.706634,64.070934,72.452536,11.446590,-179.793896,37.363959,3.140679
0.040000,64.492182,64.071055,72.666987,5.361290,-152.132497,691.534967,3.141373
0.040000,64.430192,64.071063,72.728978,1.549762,-95.288216,1421.107026,3.141577
0.040000,64.425389,64.071063,72.733780,0.120062,-35.742494,1488.643052,3.141593
0.040000,64.425389,64.071063,72.733780,0.000000,-3.001550,818.523592,3.141593
