dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,131.000000,39.000000,0.049533,2.476636,61.915888,1547.897196,1.570677
0.040000,130.999875,39.182177,0.247664,7.429907,123.831776,1547.897196,1.572173
0.040000,130.998499,39.627970,0.693458,14.859813,185.747664,1547.897196,1.575611
0.040000,130.992726,40.370934,1.436449,22.289720,185.747664,-0.000000,1.581568
0.040000,130.976977,41.411000,2.476636,29.719626,185.747664,0.000000,1.590404
0.040000,130.942675,42.747933,3.814019,37.149533,185.747664,0.000000,1.602666
0.040000,130.877367,44.381192,5.448598,44.579439,185.747664,-0.000000,1.619141
0.040000,130.763417,46.309566,7.380374,52.009346,185.747664,0.000000,1.640941
0.040000,130.576063,48.530572,9.609346,59.439252,185.747664,-0.000000,1.669637
0.040000,130.280572,51.039249,12.135514,66.869159,185.747664,0.000000,1.707463
0.040000,129.837215,53.777133,14.909346,71.822430,123.831776,-1547.897196,1.756668
0.040000,129.210901,56.631180,17.831776,74.299065,61.915888,-1547.897196,1.818918
0.040000,128.375142,59.482456,20.803738,74.299065,0.000000,-1547.897196,1.895328
0.040000,127.303392,62.253324,23.775701,74.299065,0.000000,0.000000,1.987123
0.040000,125.960207,64.902800,26.747664,74.299065,0.000000,0.000000,2.095705
0.040000,124.317580,67.377242,29.719626,74.299065,0.000000,0.000000,2.220448
0.040000,122.365351,69.614994,32.691589,74.299065,0.000000,0.000000,2.357353
0.040000,120.120175,71.558434,35.663551,74.299065,0.000000,0.000000,2.498874
0.040000,117.625587,73.169561,38.635514,74.299065,0.000000,0.000000,2.635960
0.040000,114.940727,74.439400,41.607477,74.299065,0.000000,0.000000,2.761258
0.040000,112.124908,75.385387,44.579439,74.299065,0.000000,0.000000,2.870996
0.040000,109.227247,76.040843,47.551402,74.299065,0.000000,0.000000,2.964681
0.040000,106.283591,76.444399,50.523364,74.299065,0.000000,0.000000,3.043752
0.040000,103.318180,76.633226,53.495327,74.299065,0.000000,0.000000,3.110363
0.040000,100.346629,76.640041,56.467290,74.299065,0.000000,0.000000,3.166691
0.040000,97.411848,76.510607,59.439252,74.299065,0.000000,0.000000,3.188215
0.040000,94.442082,76.397256,62.411215,74.299065,0.000000,0.000000,3.171672
0.040000,91.470917,76.329453,65.383178,74.299065,0.000000,0.000000,3.157552
0.040000,88.499118,76.299981,68.355140,74.299065,0.000000,0.000000,3.145874
0.040000,85.527166,76.301579,71.327103,74.299065,0.000000,0.000000,3.136645
0.040000,82.555318,76.326963,74.299065,74.299065,0.000000,0.000000,3.129867
0.040000,79.628180,76.368134,77.226495,72.072434,-55.665792,-1391.644803,3.125587
0.040000,76.839757,76.415873,80.015327,67.369167,-117.581680,-1547.897196,3.123720
0.040000,74.288998,76.461618,82.566496,60.189264,-179.497568,-1547.897196,3.123902
0.040000,72.030351,76.499961,84.825468,52.759357,-185.747664,-156.252394,3.125570
0.040000,70.068791,76.529020,86.787245,45.329451,-185.747664,-0.000000,3.128167
0.040000,68.404331,76.548944,88.451824,37.899544,-185.747664,0.000000,3.131207
0.040000,67.037002,76.561102,89.819208,30.469638,-185.747664,0.000000,3.134281
0.040000,65.966834,76.567475,90.889396,23.039731,-185.747664,-0.000000,3.137048
0.040000,65.193848,76.570150,91.662387,15.609825,-185.747664,0.000000,3.139245
0.040000,64.718053,76.570928,92.138181,8.179918,-185.747664,0.000000,3.140679
0.040000,64.494922,76.571055,92.361313,2.976643,-130.081871,1391.644803,3.141373
0.040000,64.430389,76.571063,92.425846,0.250004,-68.165984,1547.897196,3.141577
0.040000,64.425389,76.571063,92.430846,0.000000,-6.250096,1547.897196,3.141593
0.040000,64.425389,76.571063,92.430846,0.000000,0.000000,156.252394,3.141593
