dt,x,y,position,velocity,acceleration,jerk,heading
0.040000,143.500000,38.998503,0.049533,2.476636,61.915888,1547.897196,1.570677
0.040000,143.499863,39.199383,0.250413,5.022005,63.634243,42.958884,1.572173
0.040000,143.498354,39.688156,0.739188,12.219377,179.934287,2907.501103,1.575611
0.040000,143.492001,40.505583,1.556640,20.436311,205.423359,637.226791,1.581568
0.040000,143.474574,41.656086,2.707275,28.765856,208.238619,70.381511,1.590404
0.040000,143.436328,43.146238,4.197918,37.266089,212.505830,106.680268,1.602666
0.040000,143.362763,44.985264,6.038415,46.012420,218.658272,153.811039,1.619141
0.040000,143.232677,47.185660,8.242652,55.105927,227.337683,216.985281,1.640941
0.040000,143.015053,49.764074,10.830234,64.689549,239.590537,306.321362,1.669637
0.040000,142.664017,52.742273,13.829050,74.970389,257.021011,435.761828,1.707463
0.040000,142.121910,56.087169,17.217591,84.713532,243.578574,-336.060917,1.756668
0.040000,141.328094,59.700974,20.917554,92.499075,194.638579,-1223.499870,1.818918
0.040000,140.222643,63.468271,24.843691,98.153420,141.358619,-1331.999009,1.895328
0.040000,138.735651,67.308368,28.961638,102.948689,119.881714,-536.922620,1.987123
0.040000,136.777326,71.166979,33.288752,108.177844,130.728879,271.179115,2.095705
0.040000,134.271259,74.938610,37.817060,113.207708,125.746606,-124.556808,2.220448
0.040000,131.193939,78.464063,42.496666,116.990153,94.561122,-779.637096,2.357353
0.040000,127.612350,81.564297,47.233673,118.425166,35.875323,-1467.144973,2.498874
0.040000,123.680094,84.105417,51.915545,117.046804,-34.459044,-1758.359175,2.635960
0.040000,119.581113,86.046158,56.450754,113.380216,-91.664697,-1430.141324,2.761258
0.040000,115.466244,87.430530,60.792256,108.537540,-121.066899,-735.055072,2.870996
0.040000,111.427129,88.345741,64.933760,103.537622,-124.997968,-98.276726,2.964681
0.040000,107.504652,88.884616,68.893080,98.982987,-113.865862,278.302651,3.043752
0.040000,103.708491,89.127130,72.696979,95.097483,-97.137603,418.206477,3.110363
0.040000,100.032934,89.136105,76.372548,91.889219,-80.206608,423.274892,3.166691
0.040000,96.829277,88.997024,79.579222,80.166852,-293.059170,-5321.314072,3.188215
0.040000,94.066150,88.891602,82.344359,69.128430,-275.960533,427.465937,3.171672
0.040000,91.271429,88.827861,85.139807,69.886194,18.944096,7372.615735,3.157552
0.040000,88.445601,88.799867,87.965774,70.649168,19.074353,3.256418,3.145874
0.040000,85.589017,88.801426,90.822358,71.414612,19.136084,1.543284,3.136645
0.040000,82.701890,88.826104,93.709591,72.180818,19.155158,0.476835,3.129867
0.040000,79.828246,88.866533,96.583519,71.848205,-8.315327,-686.762126,3.125587
0.040000,77.063147,88.913877,99.349023,69.137597,-67.765191,-1486.246598,3.123720
0.040000,74.510117,88.959662,101.902464,63.836032,-132.539140,-1619.348725,3.123902
0.040000,72.230627,88.998356,104.182282,56.995455,-171.014423,-961.882078,3.125570
0.040000,70.236611,89.027893,106.176517,49.855860,-178.489873,-186.886256,3.128167
0.040000,68.534144,89.048270,107.879106,42.564733,-182.278178,-94.707622,3.131207
0.040000,67.128401,89.060768,109.284905,35.144963,-185.494240,-80.401534,3.134281
0.040000,66.023642,89.067346,110.389683,27.619467,-188.137399,-66.078978,3.137048
0.040000,65.223198,89.070115,111.190131,20.011202,-190.206637,-51.730962,3.139245
0.040000,64.729473,89.070923,111.683857,12.343150,-191.701289,-37.366294,3.140679
0.040000,64.497662,89.071055,111.915668,5.795271,-163.696992,700.107429,3.141373
0.040000,64.430587,89.071063,111.982744,1.676885,-102.959633,1518.433978,3.141577
0.040000,64.425389,89.071063,111.987941,0.129942,-38.673585,1607.151192,3.141593
0.040000,64.425389,89.071063,111.987941,0.000000,-3.248545,885.625993,3.141593
